"year";"plot";"focal";"competitor";"magnitude"
2017;5;"BEMA";"SASO";-0,00202107120132721
2018;5;"BEMA";"SASO";-6,14880209753669e-05
2019;5;"BEMA";"SASO";NA
2016;6;"BEMA";"SASO";-0,0188509353491316
2017;6;"BEMA";"SASO";NA
2018;6;"BEMA";"SASO";NA
2019;6;"BEMA";"SASO";NA
2016;7;"BEMA";"SASO";0,0120160318549733
2017;7;"BEMA";"SASO";NA
2018;7;"BEMA";"SASO";NA
2019;7;"BEMA";"SASO";-0,0216287518852198
2016;8;"BEMA";"SASO";-0,00565295525684844
2017;8;"BEMA";"SASO";NA
2018;8;"BEMA";"SASO";NA
2019;8;"BEMA";"SASO";-0,00852750614197769
2016;9;"BEMA";"SASO";0,00491533155756072
2017;9;"BEMA";"SASO";NA
2018;9;"BEMA";"SASO";NA
2019;9;"BEMA";"SASO";0,00058136985940098
2016;1;"CETE";"SASO";NA
2017;1;"CETE";"SASO";0,0209214393316826
2018;1;"CETE";"SASO";0,0627769431641533
2019;1;"CETE";"SASO";NA
2016;2;"CETE";"SASO";NA
2017;2;"CETE";"SASO";0,0197490163671093
2018;2;"CETE";"SASO";0,00346462211004589
2019;2;"CETE";"SASO";-0,000180431820193634
2016;3;"CETE";"SASO";NA
2017;3;"CETE";"SASO";0,00859476876401292
2018;3;"CETE";"SASO";0,0113427502583281
2019;3;"CETE";"SASO";NA
2016;4;"CETE";"SASO";NA
2017;4;"CETE";"SASO";NA
2018;4;"CETE";"SASO";NA
2019;4;"CETE";"SASO";-0,000672099604493266
2016;5;"CETE";"SASO";0,0226567956145744
2017;5;"CETE";"SASO";0,000551736489313374
2018;5;"CETE";"SASO";NA
2019;5;"CETE";"SASO";0,00104192196552531
2016;6;"CETE";"SASO";NA
2017;6;"CETE";"SASO";NA
2018;6;"CETE";"SASO";NA
2019;6;"CETE";"SASO";0,00168949351153611
2016;7;"CETE";"SASO";NA
2017;7;"CETE";"SASO";NA
2018;7;"CETE";"SASO";NA
2019;7;"CETE";"SASO";-0,0192386719061562
2016;8;"CETE";"SASO";NA
2017;8;"CETE";"SASO";NA
2018;8;"CETE";"SASO";NA
2019;8;"CETE";"SASO";-0,0243470304750316
2016;9;"CETE";"SASO";0,000104189022353162
2017;9;"CETE";"SASO";NA
2018;9;"CETE";"SASO";NA
2019;9;"CETE";"SASO";NA
2016;1;"CHFU";"SASO";NA
2017;1;"CHFU";"SASO";-0,00571342311989987
2018;1;"CHFU";"SASO";NA
2019;1;"CHFU";"SASO";-0,00517128493762916
2016;2;"CHFU";"SASO";NA
2017;2;"CHFU";"SASO";0,00148913688686737
2018;2;"CHFU";"SASO";NA
2019;2;"CHFU";"SASO";0,000849706879820083
2016;3;"CHFU";"SASO";NA
2017;3;"CHFU";"SASO";0,0299361864072725
2018;3;"CHFU";"SASO";NA
2019;3;"CHFU";"SASO";0,00342989543305179
2016;4;"CHFU";"SASO";NA
2017;4;"CHFU";"SASO";0,0022766063299448
2018;4;"CHFU";"SASO";NA
2019;4;"CHFU";"SASO";0,00124029216582413
2016;5;"CHFU";"SASO";NA
2017;5;"CHFU";"SASO";0,071284179064529
2018;5;"CHFU";"SASO";NA
2019;5;"CHFU";"SASO";-0,0013489194803498
2016;6;"CHFU";"SASO";NA
2017;6;"CHFU";"SASO";0,0191615591137173
2018;6;"CHFU";"SASO";NA
2019;6;"CHFU";"SASO";0,0028198735113791
2016;7;"CHFU";"SASO";NA
2017;7;"CHFU";"SASO";NA
2018;7;"CHFU";"SASO";NA
2019;7;"CHFU";"SASO";-0,00295047407459145
2016;8;"CHFU";"SASO";NA
2017;8;"CHFU";"SASO";NA
2018;8;"CHFU";"SASO";NA
2019;8;"CHFU";"SASO";0,00700309668038962
2016;9;"CHFU";"SASO";NA
2017;9;"CHFU";"SASO";NA
2018;9;"CHFU";"SASO";NA
2019;9;"CHFU";"SASO";0,00137953920692629
2016;1;"CHMI";"SASO";NA
2017;1;"CHMI";"SASO";NA
2018;1;"CHMI";"SASO";NA
2019;1;"CHMI";"SASO";NA
2016;2;"CHMI";"SASO";NA
2017;2;"CHMI";"SASO";NA
2018;2;"CHMI";"SASO";NA
2019;2;"CHMI";"SASO";NA
2016;3;"CHMI";"SASO";NA
2017;3;"CHMI";"SASO";NA
2018;3;"CHMI";"SASO";NA
2019;3;"CHMI";"SASO";NA
2016;4;"CHMI";"SASO";NA
2017;4;"CHMI";"SASO";NA
