"year";"plot";"sp";"lambda"
2019;9;"MEEL";NA
2016;1;"MESU";181,666969419547
2017;1;"MESU";472,653166640277
2018;1;"MESU";NA
2019;1;"MESU";312,023853656528
2016;2;"MESU";104,926797533064
2017;2;"MESU";472,675809182923
2018;2;"MESU";NA
2019;2;"MESU";367,034945665917
2016;3;"MESU";97,1255735685889
2017;3;"MESU";527,461415713092
2018;3;"MESU";NA
2019;3;"MESU";297,588051580854
2016;4;"MESU";108,243937410429
2017;4;"MESU";NA
2018;4;"MESU";NA
2019;4;"MESU";414,676899801666
2016;5;"MESU";112,687879515404
2017;5;"MESU";NA
2018;5;"MESU";NA
2019;5;"MESU";NA
2016;6;"MESU";141,070129125135
2017;6;"MESU";NA
2018;6;"MESU";NA
2019;6;"MESU";NA
2016;7;"MESU";154,652733013603
2017;7;"MESU";NA
2018;7;"MESU";NA
2019;7;"MESU";539,58157182294
2016;8;"MESU";253,768999201508
2017;8;"MESU";NA
2018;8;"MESU";NA
2019;8;"MESU";754,211426219186
2016;9;"MESU";405,004833797749
2017;9;"MESU";NA
2018;9;"MESU";NA
2019;9;"MESU";324,036050948787
2016;1;"PAIN";11,6940283549221
2017;1;"PAIN";20,4240365158612
2018;1;"PAIN";NA
2019;1;"PAIN";1,06042707645926
2016;2;"PAIN";24,7619499809908
2017;2;"PAIN";29,0463594702692
2018;2;"PAIN";20,2816958636012
2019;2;"PAIN";1,05413204450991
2016;3;"PAIN";23,1460364899888
2017;3;"PAIN";25,4101445503814
2018;3;"PAIN";17,9609155747903
2019;3;"PAIN";1,0676476729368
2016;4;"PAIN";19,0091235964109
2017;4;"PAIN";27,0416723645185
2018;4;"PAIN";17,7366949455973
2019;4;"PAIN";1,06742331845517
2016;5;"PAIN";9,43742107674525
2017;5;"PAIN";27,6504866801416
2018;5;"PAIN";NA
2019;5;"PAIN";1,0682348188056
2016;6;"PAIN";25,9901383389977
2017;6;"PAIN";23,2908577881442
2018;6;"PAIN";15,7430365876585
2019;6;"PAIN";1,06516877511469
2016;7;"PAIN";71,2559701830187
2017;7;"PAIN";NA
2018;7;"PAIN";NA
2019;7;"PAIN";1,07137990675358
2016;8;"PAIN";50,4929128493935
2017;8;"PAIN";NA
2018;8;"PAIN";NA
2019;8;"PAIN";1,0877476044302
2016;9;"PAIN";54,3325307239186
2017;9;"PAIN";NA
2018;9;"PAIN";NA
2019;9;"PAIN";1,0523073247053
2016;1;"PLCO";29,0318307694704
2017;1;"PLCO";28,9861449407574
2018;1;"PLCO";NA
2019;1;"PLCO";NA
2016;2;"PLCO";31,030515483554
2017;2;"PLCO";NA
2018;2;"PLCO";NA
2019;2;"PLCO";NA
2016;3;"PLCO";35,8338335520606
2017;3;"PLCO";29,3583585022015
2018;3;"PLCO";NA
2019;3;"PLCO";NA
2016;4;"PLCO";30,4203869865178
2017;4;"PLCO";27,9308910398281
2018;4;"PLCO";NA
2019;4;"PLCO";27,5228751108518
2016;5;"PLCO";30,2154957221888
2017;5;"PLCO";31,3880550496373
2018;5;"PLCO";NA
2019;5;"PLCO";NA
2016;6;"PLCO";34,4500113383605
2017;6;"PLCO";31,9498561761465
2018;6;"PLCO";NA
2019;6;"PLCO";27,0677869888704
2016;7;"PLCO";38,7242507858054
2017;7;"PLCO";NA
2018;7;"PLCO";NA
2019;7;"PLCO";29,1926787120641
2016;8;"PLCO";33,355089385106
2017;8;"PLCO";NA
2018;8;"PLCO";NA
2019;8;"PLCO";27,2133841139013
2016;9;"PLCO";43,1611353652091
2017;9;"PLCO";NA
2018;9;"PLCO";NA
2019;9;"PLCO";27,5156691085204
2016;1;"POMA";NA
2017;1;"POMA";98,4854287480276
2018;1;"POMA";92,6998008496685
2019;1;"POMA";99,3362564486769
2016;2;"POMA";NA
2017;2;"POMA";105,234797671563
2018;2;"POMA";156,007267155162
2019;2;"POMA";95,331069400841
2016;3;"POMA";NA
2017;3;"POMA";125,961977864425
2018;3;"POMA";163,4825140546
2019;3;"POMA";96,6334640028652
2016;4;"POMA";NA
2017;4;"POMA";118,630188998214
2018;4;"POMA";96,4876325578188
2019;4;"POMA";90,0338463950778
2016;5;"POMA";NA
2017;5;"POMA";127,657400558921
2018;5;"POMA";153,51057234539
2019;5;"POMA";91,4185008531475
2016;6;"POMA";NA
2017;6;"POMA";139,110763573447
2018;6;"POMA";97,1382272747831
2019;6;"POMA";91,3307841265284
2016;7;"POMA";91,4090749717145
2017;7;"POMA";NA
2018;7;"POMA";NA
2019;7;"POMA";88,6507578870122
2016;8;"POMA";88,3430697126895
2017;8;"POMA";228,955365182894
2018;8;"POMA";NA
2019;8;"POMA";88,6039080031216
2016;9;"POMA";88,0071698115575
2017;9;"POMA";NA
2018;9;"POMA";NA
2019;9;"POMA";87,5669160990864
2016;1;"POMO";NA
2017;1;"POMO";NA
2018;1;"POMO";NA
2019;1;"POMO";NA
2016;2;"POMO";NA
2017;2;"POMO";144,247383824672
2018;2;"POMO";NA
2019;2;"POMO";NA
2016;3;"POMO";97,3023577415786
2017;3;"POMO";105,763550057055
2018;3;"POMO";NA
2019;3;"POMO";NA
2016;4;"POMO";NA
2017;4;"POMO";110,025326373019
2018;4;"POMO";NA
2019;4;"POMO";NA
2016;5;"POMO";NA
2017;5;"POMO";NA
2018;5;"POMO";NA
2019;5;"POMO";NA
2016;6;"POMO";NA
2017;6;"POMO";NA
2018;6;"POMO";NA
2019;6;"POMO";NA
2016;7;"POMO";NA
2017;7;"POMO";NA
2018;7;"POMO";NA
2019;7;"POMO";87,9455302936426
2016;8;"POMO";115,625314488028
2017;8;"POMO";NA
2018;8;"POMO";NA
2019;8;"POMO";166,997772655685
2016;9;"POMO";85,4483960312785
2017;9;"POMO";NA
2018;9;"POMO";NA
2019;9;"POMO";96,0230715595615
2016;1;"PUPA";830,378636196253
2017;1;"PUPA";660,30858310422
2018;1;"PUPA";1544,41039697079
2019;1;"PUPA";NA
2016;2;"PUPA";1226,99779926163
2017;2;"PUPA";633,669715135634
2018;2;"PUPA";2440,59310383757
2019;2;"PUPA";951,383931346988
2016;3;"PUPA";1205,88807395737
2017;3;"PUPA";1876,36811925067
2018;3;"PUPA";1710,66814468646
2019;3;"PUPA";NA
2016;4;"PUPA";1280,27337665181
2017;4;"PUPA";990,719385209552
2018;4;"PUPA";1420,8969272626
2019;4;"PUPA";NA
2016;5;"PUPA";1004,88208559867
2017;5;"PUPA";924,627324470498
2018;5;"PUPA";642,070547575796
2019;5;"PUPA";NA
2016;6;"PUPA";1055,31325231899
2017;6;"PUPA";657,360899313723
2018;6;"PUPA";507,296547163617
2019;6;"PUPA";NA
2016;7;"PUPA";1626,22203686153
2017;7;"PUPA";NA
2018;7;"PUPA";NA
2019;7;"PUPA";1252,19069269304
2016;8;"PUPA";1699,55133802185
2017;8;"PUPA";1525,2088905772
2018;8;"PUPA";NA
2019;8;"PUPA";1184,25257262236
2016;9;"PUPA";1199,95086248697
2017;9;"PUPA";NA
2018;9;"PUPA";NA
2019;9;"PUPA";NA
2016;1;"SASO";78,6772725137595
2017;1;"SASO";23,0764262056742
2018;1;"SASO";349,796044032733
2019;1;"SASO";60,2674476746344
2016;2;"SASO";105,440781142968
2017;2;"SASO";26,6263565784574
2018;2;"SASO";867,049405776064
2019;2;"SASO";39,863818529395
2016;3;"SASO";66,7524536405529
2017;3;"SASO";63,3070359721352
2018;3;"SASO";315,288342401483
2019;3;"SASO";31,6717201243738
2016;4;"SASO";48,2397455090962
2017;4;"SASO";62,0305990183181
2018;4;"SASO";51,2337651099961
2019;4;"SASO";31,8015535592817
2016;5;"SASO";75,6329631008116
2017;5;"SASO";87,8619379573167
2018;5;"SASO";105,105303736926
2019;5;"SASO";19,3859065294205
2016;6;"SASO";96,4232450115176
2017;6;"SASO";10,132994617087
2018;6;"SASO";34,1442119783897
